,instance,max_time,postprocessing,version,num_reads,num_feasible,num_optimal,number_of_jobs,number_of_tasks,max_task_time,mean_task_time,heuristic,optimal,energy_best,result_best,chain_break_method,chain_strength,post_processing_overhead_time,qpu_access_overhead_time,qpu_access_time,qpu_anneal_time_per_sample,qpu_delay_time_per_sample,qpu_programming_time,qpu_readout_time_per_sample,qpu_sampling_time,total_post_processing_time,is_cut_out,window_size,window_start,is_squashed
0,ft03.txt,9,True,pyqubo,984,109,18,3,9,2,1.5555555555555556,False,7,0.1640625,7.0,,,,,,,,,,,,,,,
1,ft03.txt,9,True,pyqubo,993,55,9,3,9,2,1.5555555555555556,False,7,0.1640625,7.0,,,,,,,,,,,,,,,
2,ft03.txt,8,True,pyqubo,824,3,3,3,9,2,1.5555555555555556,False,7,1.15625,7.0,,,,,,,,,,,,,,,
3,ft03.txt,8,True,pyqubo,896,34,34,3,9,2,1.5555555555555556,False,7,0.65625,7.0,,,,,,,,,,,,,,,
4,ft03.txt,8,True,csp,907,250,11,3,9,2,1.5555555555555556,False,7,2.156251438840144,7.0,,,,,,,,,,,,,,,
5,ft03.txt,8,True,csp,971,278,42,3,9,2,1.5555555555555556,False,7,2.1562514388403144,7.0,,,,,,,,,,,,,,,
6,ft03.txt,8,True,csp,965,455,148,3,9,2,1.5555555555555556,False,7,0.6562513994198582,7.0,,,,,,,,,,,,,,,
7,ft03.txt,9,True,csp,999,340,3,3,9,2,1.5555555555555556,False,7,0.5390647863757749,7.0,,,,,,,,,,,,,,,
8,ft03.txt,8,True,csp,903,534,9,3,9,2,1.5555555555555556,False,7,0.6562513994198582,7.0,,,,,,,,,,,,,,,
9,ft03.txt,8,True,csp,982,510,57,3,9,2,1.5555555555555556,False,7,0.6562513994198866,7.0,,,,,,,,,,,,,,,
10,ft03.txt,8,True,csp,910,238,69,3,9,2,1.5555555555555556,False,7,0.6562514782603728,7.0,,,,,,,,,,,,,,,
11,ft03.txt,9,True,csp,995,190,2,3,9,2,1.5555555555555556,False,7,0.6328148060858894,7.0,,,,,,,,,,,,,,,
12,ft03.txt,8,True,csp,978,347,53,3,9,2,1.5555555555555556,False,7,0.6562513994198582,7.0,,,,,,,,,,,,,,,
13,ft03.txt,8,True,csp,957,225,63,3,9,2,1.5555555555555556,False,7,0.6562513994198298,7.0,,,,,,,,,,,,,,,
14,ft03.txt,8,True,pyqubo,902,9,9,3,9,2,1.5555555555555556,False,7,0.65625,7.0,,,,,,,,,,,,,,,
15,ft03.txt,8,True,pyqubo,826,28,28,3,9,2,1.5555555555555556,False,7,0.65625,7.0,,,,,,,,,,,,,,,
16,ft03.txt,9,True,pyqubo,984,68,1,3,9,2,1.5555555555555556,False,7,0.2578125,7.0,,,,,,,,,,,,,,,
17,ft03.txt,9,True,pyqubo,969,125,7,3,9,2,1.5555555555555556,False,7,0.1640625,7.0,,,,,,,,,,,,,,,
18,ft03.txt,9,True,pyqubo,986,163,5,3,9,2,1.5555555555555556,False,7,0.1640625,7.0,,,,,,,,,,,,,,,
19,ft03.txt,9,True,pyqubo,984,125,10,3,9,2,1.5555555555555556,False,7,0.1640625,7.0,,,,,,,,,,,,,,,
20,ft03.txt,9,True,pyqubo,991,59,2,3,9,2,1.5555555555555556,False,7,0.1640625,7.0,,,,,,,,,,,,,,,
21,ft03.txt,8,True,pyqubo,746,42,42,3,9,2,1.5555555555555556,False,7,0.65625,7.0,,,,,,,,,,,,,,,
22,ft03.txt,8,True,pyqubo,972,9,9,3,9,2,1.5555555555555556,False,7,0.65625,7.0,,,,,,,,,,,,,,,
23,ft03.txt,9,True,pyqubo,9202,360,3,3,9,2,1.5555555555555556,False,7,0.1640625,7.0,,,,,,,,,,,,,,,
