,instance,max_time,postprocessing,version,num_reads,num_feasible,num_optimal,number_of_jobs,number_of_tasks,is_squashed,max_task_time,mean_task_time,heuristic,optimal,energy_best,result_best,chain_strength,chain_break_method,qpu_sampling_time,qpu_anneal_time_per_sample,qpu_readout_time_per_sample,qpu_access_time,qpu_access_overhead_time,qpu_programming_time,qpu_delay_time_per_sample,post_processing_overhead_time,total_post_processing_time,is_cut_out,window_size,window_start
0,,9,False,pyqubo,1000,23,0,6,11,,3,1.818181818181818,True,0,0.0642589397274946,7.0,1.9575943570276928,majority_vote,244060.0,20.0,203.52,255143.1,5554.9,11083.1,20.54,994.0,2014.0,1.0,7.0,4.0
1,,11,False,pyqubo,1000,76,0,6,11,,3,1.818181818181818,True,0,0.1232990151289321,8.0,2.1524347652716447,majority_vote,244380.0,20.0,203.84,255502.3,6351.7,11122.3,20.54,524.0,1975.0,1.0,7.0,9.0
2,,7,False,pyqubo,1000,105,0,5,7,,3,1.7142857142857142,True,0,0.3536522633744861,6.0,1.6866324044222138,majority_vote,238940.0,20.0,198.4,249857.1,2620.9,10917.1,20.54,851.0,851.0,1.0,7.0,12.0
3,,8,False,pyqubo,1000,324,0,5,7,,3,1.7142857142857142,True,0,0.0651220278920892,6.0,1.795190980897224,majority_vote,238940.0,20.0,198.4,249945.1,2924.9,11005.1,20.54,1034.0,1034.0,1.0,7.0,7.0
4,,8,False,pyqubo,1000,433,0,5,7,,3,1.7142857142857142,True,0,0.0666223708276181,6.0,1.795190980897224,majority_vote,244380.0,20.0,203.84,255296.5,2763.5,10916.5,20.54,881.0,881.0,1.0,7.0,2.0
5,,7,False,pyqubo,1000,154,0,5,7,,3,1.7142857142857142,True,0,0.3534379286694102,6.0,1.6866324044222138,majority_vote,244380.0,20.0,203.84,255297.7,2542.3,10917.7,20.54,1004.0,1004.0,1.0,7.0,15.0
6,,7,False,pyqubo,1000,117,0,5,7,,3,1.7142857142857142,True,0,0.3536522633744861,6.0,1.6866324044222138,majority_vote,238940.0,20.0,198.4,249883.1,2260.9,10943.1,20.54,1607.0,1607.0,1.0,7.0,10.0
7,,6,False,pyqubo,1000,4,0,5,7,,3,1.7142857142857142,True,0,1.120627572016461,6.0,1.5835327014831952,majority_vote,242460.0,20.0,201.92,253349.9,2533.1,10889.9,20.54,600.0,600.0,1.0,7.0,11.0
8,,8,False,pyqubo,1000,148,0,5,7,,3,1.7142857142857142,True,0,0.0601923296753552,6.0,1.795190980897224,majority_vote,238940.0,20.0,198.4,249961.1,2847.9,11021.1,20.54,941.0,941.0,1.0,7.0,14.0
9,,7,False,pyqubo,1000,239,0,5,7,,3,1.7142857142857142,True,0,0.3534379286694102,6.0,1.6866324044222138,majority_vote,244100.0,20.0,203.56,255007.7,2913.3,10907.7,20.54,879.0,879.0,1.0,7.0,5.0
10,,8,False,pyqubo,1000,311,0,5,7,,3,1.7142857142857142,True,0,0.0589063214449012,6.0,1.795190980897224,majority_vote,244060.0,20.0,203.52,255020.1,2572.9,10960.1,20.54,873.0,873.0,1.0,7.0,0.0
11,,8,False,pyqubo,1000,209,0,5,7,,3,1.7142857142857142,True,0,0.0601923296753552,6.0,1.795190980897224,majority_vote,238940.0,20.0,198.4,249878.1,2961.9,10938.1,20.54,1211.0,1211.0,1.0,7.0,1.0
