,valid,result,solution,order,random_result
0,True,55,"{1: [0, 5, 28, 35, 42, 49], 2: [0, 8, 13, 28, 38, 48], 3: [1, 6, 10, 19, 38, 42], 4: [8, 14, 22, 27, 30, 45], 5: [13, 22, 25, 38, 49, 52], 6: [13, 16, 19, 28, 38, 42]}","[(1, 0), (2, 0), (3, 0), (1, 1), (3, 1), (2, 1), (4, 0), (3, 2), (2, 2), (5, 0), (6, 0), (4, 1), (6, 1), (3, 3), (6, 2), (4, 2), (5, 1), (5, 2), (4, 3), (1, 2), (2, 3), (6, 3), (4, 4), (1, 3), (2, 4), (3, 4), (5, 3), (6, 4), (1, 4), (3, 5), (6, 5), (4, 5), (2, 5), (1, 5), (5, 4), (5, 5)]",73
1,True,57,"{1: [5, 13, 26, 33, 40, 51], 2: [0, 8, 13, 26, 40, 50], 3: [0, 5, 9, 21, 37, 44], 4: [11, 16, 22, 27, 32, 43], 5: [13, 22, 27, 36, 50, 54], 6: [8, 12, 17, 30, 40, 44]}","[(2, 0), (3, 0), (1, 0), (3, 1), (2, 1), (6, 0), (3, 2), (4, 0), (6, 1), (1, 1), (2, 2), (5, 0), (4, 1), (6, 2), (3, 3), (4, 2), (5, 1), (1, 2), (2, 3), (4, 3), (5, 2), (6, 3), (4, 4), (1, 3), (5, 3), (3, 4), (1, 4), (2, 4), (6, 4), (4, 5), (3, 5), (6, 5), (2, 5), (5, 4), (1, 5), (5, 5)]",77
2,True,55,"{1: [5, 6, 16, 30, 38, 42], 2: [0, 8, 13, 28, 38, 48], 3: [0, 5, 9, 19, 42, 48], 4: [8, 13, 22, 27, 30, 45], 5: [13, 22, 25, 41, 49, 52], 6: [13, 16, 19, 28, 38, 42]}","[(2, 0), (3, 0), (1, 0), (3, 1), (1, 1), (2, 1), (4, 0), (3, 2), (2, 2), (4, 1), (5, 0), (6, 0), (1, 2), (6, 1), (3, 3), (6, 2), (4, 2), (5, 1), (5, 2), (4, 3), (2, 3), (6, 3), (1, 3), (4, 4), (1, 4), (2, 4), (6, 4), (5, 3), (1, 5), (3, 4), (6, 5), (4, 5), (2, 5), (3, 5), (5, 4), (5, 5)]",73
3,True,55,"{1: [5, 8, 16, 31, 38, 42], 2: [0, 8, 13, 28, 38, 48], 3: [0, 6, 11, 19, 43, 48], 4: [8, 13, 22, 27, 30, 45], 5: [13, 22, 25, 41, 49, 52], 6: [13, 16, 19, 28, 38, 42]}","[(2, 0), (3, 0), (1, 0), (3, 1), (1, 1), (2, 1), (4, 0), (3, 2), (2, 2), (4, 1), (5, 0), (6, 0), (1, 2), (6, 1), (3, 3), (6, 2), (4, 2), (5, 1), (5, 2), (4, 3), (2, 3), (6, 3), (4, 4), (1, 3), (1, 4), (2, 4), (6, 4), (5, 3), (1, 5), (6, 5), (3, 4), (4, 5), (2, 5), (3, 5), (5, 4), (5, 5)]",68
4,True,55,"{1: [6, 9, 16, 31, 38, 42], 2: [0, 8, 15, 28, 38, 48], 3: [1, 6, 11, 19, 43, 48], 4: [8, 13, 22, 27, 30, 45], 5: [13, 22, 25, 41, 48, 52], 6: [13, 16, 19, 28, 38, 42]}","[(2, 0), (3, 0), (1, 0), (3, 1), (2, 1), (4, 0), (1, 1), (3, 2), (4, 1), (5, 0), (6, 0), (2, 2), (1, 2), (6, 1), (3, 3), (6, 2), (4, 2), (5, 1), (5, 2), (4, 3), (2, 3), (6, 3), (4, 4), (1, 3), (1, 4), (2, 4), (6, 4), (5, 3), (1, 5), (6, 5), (3, 4), (4, 5), (2, 5), (3, 5), (5, 4), (5, 5)]",87
5,True,56,"{1: [5, 13, 16, 22, 43, 50], 2: [0, 8, 13, 28, 40, 50], 3: [0, 5, 11, 21, 30, 31], 4: [11, 16, 30, 35, 38, 46], 5: [14, 23, 26, 39, 50, 54], 6: [8, 14, 19, 30, 46, 50]}","[(2, 0), (3, 0), (1, 0), (3, 1), (2, 1), (6, 0), (3, 2), (4, 0), (1, 1), (2, 2), (5, 0), (6, 1), (1, 2), (4, 1), (6, 2), (3, 3), (1, 3), (5, 1), (5, 2), (2, 3), (3, 4), (4, 2), (6, 3), (3, 5), (4, 3), (4, 4), (5, 3), (2, 4), (1, 4), (4, 5), (6, 4), (1, 5), (2, 5), (5, 4), (6, 5), (5, 5)]",80
6,True,55,"{1: [0, 9, 25, 31, 38, 42], 2: [0, 8, 13, 28, 38, 48], 3: [2, 7, 11, 19, 43, 48], 4: [8, 13, 22, 27, 30, 45], 5: [13, 22, 25, 41, 49, 52], 6: [13, 16, 19, 28, 38, 42]}","[(1, 0), (2, 0), (3, 0), (3, 1), (2, 1), (4, 0), (1, 1), (3, 2), (2, 2), (4, 1), (5, 0), (6, 0), (6, 1), (3, 3), (6, 2), (4, 2), (5, 1), (1, 2), (5, 2), (4, 3), (2, 3), (6, 3), (4, 4), (1, 3), (1, 4), (2, 4), (6, 4), (5, 3), (1, 5), (6, 5), (3, 4), (4, 5), (2, 5), (3, 5), (5, 4), (5, 5)]",87
7,True,57,"{1: [5, 7, 16, 32, 40, 51], 2: [0, 8, 15, 26, 40, 50], 3: [0, 5, 9, 21, 41, 44], 4: [11, 16, 24, 29, 32, 43], 5: [13, 22, 26, 36, 51, 54], 6: [8, 11, 17, 30, 40, 44]}","[(2, 0), (3, 0), (1, 0), (3, 1), (1, 1), (2, 1), (6, 0), (3, 2), (4, 0), (6, 1), (5, 0), (2, 2), (1, 2), (4, 1), (6, 2), (3, 3), (5, 1), (4, 2), (2, 3), (5, 2), (4, 3), (6, 3), (1, 3), (4, 4), (5, 3), (1, 4), (2, 4), (6, 4), (3, 4), (4, 5), (3, 5), (6, 5), (2, 5), (1, 5), (5, 4), (5, 5)]",80
8,True,55,"{1: [7, 11, 16, 32, 40, 49], 2: [0, 8, 14, 26, 40, 50], 3: [0, 5, 9, 21, 30, 38], 4: [11, 16, 22, 27, 30, 43], 5: [13, 22, 25, 36, 51, 54], 6: [8, 13, 17, 30, 45, 49]}","[(2, 0), (3, 0), (3, 1), (1, 0), (2, 1), (6, 0), (3, 2), (1, 1), (4, 0), (5, 0), (6, 1), (2, 2), (1, 2), (4, 1), (6, 2), (3, 3), (4, 2), (5, 1), (5, 2), (2, 3), (4, 3), (3, 4), (4, 4), (6, 3), (1, 3), (5, 3), (3, 5), (1, 4), (2, 4), (4, 5), (6, 4), (1, 5), (6, 5), (2, 5), (5, 4), (5, 5)]",81
9,True,55,"{1: [0, 4, 16, 30, 42, 49], 2: [0, 8, 15, 28, 38, 48], 3: [1, 6, 10, 18, 36, 42], 4: [8, 13, 22, 27, 30, 45], 5: [13, 22, 25, 38, 49, 52], 6: [13, 16, 19, 28, 38, 42]}","[(1, 0), (2, 0), (3, 0), (1, 1), (3, 1), (2, 1), (4, 0), (3, 2), (4, 1), (5, 0), (6, 0), (2, 2), (1, 2), (6, 1), (3, 3), (6, 2), (4, 2), (5, 1), (5, 2), (4, 3), (2, 3), (6, 3), (1, 3), (4, 4), (3, 4), (2, 4), (5, 3), (6, 4), (1, 4), (3, 5), (6, 5), (4, 5), (2, 5), (1, 5), (5, 4), (5, 5)]",86
10,True,57,"{1: [1, 10, 19, 26, 38, 51], 2: [0, 8, 14, 28, 38, 48], 3: [2, 7, 11, 19, 43, 44], 4: [8, 13, 18, 23, 26, 45], 5: [23, 32, 35, 41, 49, 52], 6: [13, 16, 19, 28, 40, 44]}","[(2, 0), (1, 0), (3, 0), (3, 1), (2, 1), (4, 0), (1, 1), (3, 2), (4, 1), (6, 0), (2, 2), (6, 1), (4, 2), (1, 2), (3, 3), (6, 2), (4, 3), (5, 0), (1, 3), (4, 4), (2, 3), (6, 3), (5, 1), (5, 2), (1, 4), (2, 4), (6, 4), (5, 3), (3, 4), (3, 5), (6, 5), (4, 5), (2, 5), (5, 4), (1, 5), (5, 5)]",79
11,True,55,"{1: [5, 7, 25, 34, 42, 49], 2: [0, 8, 14, 28, 38, 48], 3: [0, 5, 10, 19, 36, 42], 4: [8, 13, 22, 27, 30, 45], 5: [13, 22, 25, 38, 49, 52], 6: [13, 16, 19, 28, 38, 42]}","[(2, 0), (3, 0), (1, 0), (3, 1), (1, 1), (2, 1), (4, 0), (3, 2), (4, 1), (5, 0), (6, 0), (2, 2), (6, 1), (3, 3), (6, 2), (4, 2), (5, 1), (1, 2), (5, 2), (4, 3), (2, 3), (6, 3), (4, 4), (1, 3), (3, 4), (2, 4), (5, 3), (6, 4), (1, 4), (3, 5), (6, 5), (4, 5), (2, 5), (1, 5), (5, 4), (5, 5)]",66
12,True,55,"{1: [0, 11, 16, 30, 38, 49], 2: [0, 8, 14, 28, 38, 48], 3: [1, 6, 11, 19, 28, 30], 4: [8, 14, 22, 27, 37, 45], 5: [13, 22, 25, 41, 48, 52], 6: [13, 16, 19, 28, 45, 49]}","[(1, 0), (2, 0), (3, 0), (3, 1), (2, 1), (4, 0), (1, 1), (3, 2), (5, 0), (6, 0), (2, 2), (4, 1), (1, 2), (6, 1), (3, 3), (6, 2), (4, 2), (5, 1), (5, 2), (4, 3), (2, 3), (3, 4), (6, 3), (1, 3), (3, 5), (4, 4), (1, 4), (2, 4), (5, 3), (4, 5), (6, 4), (2, 5), (5, 4), (1, 5), (6, 5), (5, 5)]",83
13,True,57,"{1: [6, 11, 27, 33, 40, 51], 2: [0, 8, 16, 26, 40, 50], 3: [0, 5, 9, 21, 36, 44], 4: [11, 16, 23, 29, 32, 43], 5: [13, 22, 26, 36, 50, 54], 6: [8, 12, 17, 30, 40, 44]}","[(2, 0), (3, 0), (3, 1), (1, 0), (2, 1), (6, 0), (3, 2), (1, 1), (4, 0), (6, 1), (5, 0), (2, 2), (4, 1), (6, 2), (3, 3), (5, 1), (4, 2), (2, 3), (5, 2), (1, 2), (4, 3), (6, 3), (4, 4), (1, 3), (3, 4), (5, 3), (1, 4), (2, 4), (6, 4), (4, 5), (3, 5), (6, 5), (2, 5), (5, 4), (1, 5), (5, 5)]",71
14,True,55,"{1: [7, 8, 16, 32, 42, 49], 2: [0, 8, 14, 28, 38, 48], 3: [2, 7, 11, 19, 31, 42], 4: [8, 13, 22, 27, 30, 45], 5: [13, 22, 25, 38, 48, 52], 6: [13, 16, 19, 28, 38, 42]}","[(2, 0), (3, 0), (1, 0), (3, 1), (1, 1), (2, 1), (4, 0), (3, 2), (4, 1), (5, 0), (6, 0), (2, 2), (1, 2), (6, 1), (3, 3), (6, 2), (4, 2), (5, 1), (5, 2), (4, 3), (2, 3), (6, 3), (4, 4), (3, 4), (1, 3), (2, 4), (5, 3), (6, 4), (1, 4), (3, 5), (6, 5), (4, 5), (2, 5), (5, 4), (1, 5), (5, 5)]",73
15,True,55,"{1: [5, 7, 16, 31, 38, 49], 2: [0, 8, 14, 28, 38, 48], 3: [0, 6, 11, 19, 39, 42], 4: [8, 14, 22, 27, 30, 45], 5: [13, 22, 25, 41, 49, 52], 6: [13, 16, 19, 28, 38, 42]}","[(2, 0), (3, 0), (1, 0), (3, 1), (1, 1), (2, 1), (4, 0), (3, 2), (5, 0), (6, 0), (2, 2), (4, 1), (1, 2), (6, 1), (3, 3), (6, 2), (4, 2), (5, 1), (5, 2), (4, 3), (2, 3), (6, 3), (4, 4), (1, 3), (1, 4), (2, 4), (6, 4), (3, 4), (5, 3), (3, 5), (6, 5), (4, 5), (2, 5), (1, 5), (5, 4), (5, 5)]",83
16,True,58,"{1: [5, 16, 20, 27, 38, 41], 2: [5, 13, 18, 28, 38, 48], 3: [0, 5, 9, 19, 44, 51], 4: [0, 8, 18, 24, 28, 45], 5: [24, 33, 36, 41, 48, 52], 6: [13, 16, 19, 28, 47, 51]}","[(3, 0), (4, 0), (1, 0), (2, 0), (3, 1), (4, 1), (3, 2), (2, 1), (6, 0), (1, 1), (6, 1), (2, 2), (4, 2), (3, 3), (6, 2), (1, 2), (4, 3), (5, 0), (1, 3), (2, 3), (4, 4), (6, 3), (5, 1), (5, 2), (1, 4), (2, 4), (1, 5), (5, 3), (3, 4), (4, 5), (6, 4), (2, 5), (5, 4), (3, 5), (6, 5), (5, 5)]",67
17,True,55,"{1: [0, 1, 16, 22, 38, 49], 2: [0, 8, 13, 28, 38, 48], 3: [1, 7, 11, 19, 28, 30], 4: [8, 13, 26, 34, 37, 45], 5: [13, 22, 25, 41, 48, 52], 6: [13, 16, 19, 28, 45, 49]}","[(1, 0), (2, 0), (1, 1), (3, 0), (3, 1), (2, 1), (4, 0), (3, 2), (2, 2), (4, 1), (5, 0), (6, 0), (1, 2), (6, 1), (3, 3), (6, 2), (1, 3), (5, 1), (5, 2), (4, 2), (2, 3), (3, 4), (6, 3), (3, 5), (4, 3), (4, 4), (1, 4), (2, 4), (5, 3), (4, 5), (6, 4), (2, 5), (5, 4), (1, 5), (6, 5), (5, 5)]",82
18,True,55,"{1: [0, 7, 28, 35, 42, 49], 2: [0, 8, 15, 28, 38, 48], 3: [1, 6, 10, 19, 37, 42], 4: [8, 14, 22, 27, 30, 45], 5: [13, 22, 25, 38, 48, 52], 6: [13, 16, 19, 28, 38, 42]}","[(1, 0), (2, 0), (3, 0), (3, 1), (1, 1), (2, 1), (4, 0), (3, 2), (5, 0), (6, 0), (4, 1), (2, 2), (6, 1), (3, 3), (6, 2), (4, 2), (5, 1), (5, 2), (4, 3), (1, 2), (2, 3), (6, 3), (4, 4), (1, 3), (3, 4), (2, 4), (5, 3), (6, 4), (1, 4), (3, 5), (6, 5), (4, 5), (2, 5), (5, 4), (1, 5), (5, 5)]",86
19,True,55,"{1: [6, 8, 25, 31, 38, 42], 2: [0, 8, 13, 28, 38, 48], 3: [0, 5, 11, 19, 38, 48], 4: [8, 13, 22, 27, 30, 45], 5: [13, 22, 25, 41, 49, 52], 6: [13, 16, 19, 28, 38, 42]}","[(2, 0), (3, 0), (3, 1), (1, 0), (1, 1), (2, 1), (4, 0), (3, 2), (2, 2), (4, 1), (5, 0), (6, 0), (6, 1), (3, 3), (6, 2), (4, 2), (5, 1), (1, 2), (5, 2), (4, 3), (2, 3), (6, 3), (4, 4), (1, 3), (1, 4), (2, 4), (3, 4), (6, 4), (5, 3), (1, 5), (6, 5), (4, 5), (2, 5), (3, 5), (5, 4), (5, 5)]",91
20,True,55,"{1: [5, 9, 16, 33, 42, 49], 2: [0, 8, 15, 28, 38, 48], 3: [0, 5, 11, 19, 40, 42], 4: [8, 14, 22, 27, 30, 45], 5: [13, 22, 25, 38, 48, 52], 6: [13, 16, 19, 28, 38, 42]}","[(2, 0), (3, 0), (1, 0), (3, 1), (2, 1), (4, 0), (1, 1), (3, 2), (5, 0), (6, 0), (4, 1), (2, 2), (1, 2), (6, 1), (3, 3), (6, 2), (4, 2), (5, 1), (5, 2), (4, 3), (2, 3), (6, 3), (4, 4), (1, 3), (2, 4), (5, 3), (6, 4), (3, 4), (1, 4), (3, 5), (6, 5), (4, 5), (2, 5), (5, 4), (1, 5), (5, 5)]",72
21,True,56,"{1: [0, 1, 16, 23, 43, 50], 2: [0, 8, 15, 29, 40, 50], 3: [3, 8, 12, 21, 30, 31], 4: [11, 16, 26, 35, 38, 46], 5: [13, 23, 26, 39, 51, 54], 6: [8, 15, 20, 30, 46, 50]}","[(1, 0), (2, 0), (1, 1), (3, 0), (2, 1), (3, 1), (6, 0), (4, 0), (3, 2), (5, 0), (2, 2), (6, 1), (1, 2), (4, 1), (6, 2), (3, 3), (1, 3), (5, 1), (4, 2), (5, 2), (2, 3), (3, 4), (6, 3), (3, 5), (4, 3), (4, 4), (5, 3), (2, 4), (1, 4), (4, 5), (6, 4), (1, 5), (2, 5), (6, 5), (5, 4), (5, 5)]",71
22,True,55,"{1: [7, 9, 16, 27, 42, 49], 2: [0, 8, 14, 28, 38, 48], 3: [0, 5, 10, 19, 29, 30], 4: [8, 13, 26, 34, 37, 45], 5: [13, 22, 25, 38, 48, 52], 6: [13, 16, 19, 28, 45, 49]}","[(2, 0), (3, 0), (3, 1), (1, 0), (2, 1), (4, 0), (1, 1), (3, 2), (4, 1), (5, 0), (6, 0), (2, 2), (1, 2), (6, 1), (3, 3), (6, 2), (5, 1), (5, 2), (4, 2), (1, 3), (2, 3), (6, 3), (3, 4), (3, 5), (4, 3), (4, 4), (2, 4), (5, 3), (1, 4), (4, 5), (6, 4), (2, 5), (5, 4), (1, 5), (6, 5), (5, 5)]",75
23,True,57,"{1: [7, 8, 21, 27, 38, 44], 2: [0, 8, 15, 28, 38, 48], 3: [1, 6, 11, 19, 29, 50], 4: [8, 13, 18, 23, 26, 45], 5: [23, 32, 35, 41, 48, 52], 6: [13, 16, 19, 28, 40, 44]}","[(2, 0), (3, 0), (3, 1), (1, 0), (1, 1), (2, 1), (4, 0), (3, 2), (4, 1), (6, 0), (2, 2), (6, 1), (4, 2), (3, 3), (6, 2), (1, 2), (4, 3), (5, 0), (4, 4), (1, 3), (2, 3), (6, 3), (3, 4), (5, 1), (5, 2), (1, 4), (2, 4), (6, 4), (5, 3), (1, 5), (6, 5), (4, 5), (2, 5), (5, 4), (3, 5), (5, 5)]",80
24,True,58,"{1: [10, 15, 20, 29, 38, 45], 2: [5, 13, 18, 28, 38, 48], 3: [1, 6, 10, 18, 50, 51], 4: [0, 7, 18, 23, 28, 45], 5: [24, 33, 36, 41, 48, 52], 6: [13, 16, 19, 28, 41, 45]}","[(4, 0), (3, 0), (2, 0), (3, 1), (4, 1), (1, 0), (3, 2), (2, 1), (6, 0), (1, 1), (6, 1), (2, 2), (3, 3), (4, 2), (6, 2), (1, 2), (4, 3), (5, 0), (2, 3), (4, 4), (6, 3), (1, 3), (5, 1), (5, 2), (1, 4), (2, 4), (5, 3), (6, 4), (1, 5), (4, 5), (6, 5), (2, 5), (5, 4), (3, 4), (3, 5), (5, 5)]",85
25,True,57,"{1: [13, 14, 20, 26, 44, 51], 2: [0, 8, 15, 29, 41, 51], 3: [0, 5, 9, 17, 26, 27], 4: [14, 26, 31, 36, 39, 47], 5: [15, 27, 34, 40, 51, 55], 6: [10, 14, 19, 31, 47, 51]}","[(2, 0), (3, 0), (3, 1), (2, 1), (3, 2), (6, 0), (1, 0), (1, 1), (4, 0), (6, 1), (2, 2), (5, 0), (3, 3), (6, 2), (1, 2), (1, 3), (3, 4), (4, 1), (3, 5), (5, 1), (2, 3), (4, 2), (6, 3), (5, 2), (4, 3), (4, 4), (5, 3), (2, 4), (1, 4), (4, 5), (6, 4), (1, 5), (2, 5), (5, 4), (6, 5), (5, 5)]",79
26,True,58,"{1: [10, 13, 22, 31, 38, 52], 2: [5, 13, 18, 28, 38, 48], 3: [0, 5, 9, 19, 36, 45], 4: [0, 5, 18, 24, 28, 45], 5: [23, 32, 36, 41, 49, 52], 6: [13, 16, 19, 28, 41, 45]}","[(3, 0), (4, 0), (2, 0), (3, 1), (4, 1), (3, 2), (1, 0), (1, 1), (2, 1), (6, 0), (6, 1), (2, 2), (4, 2), (3, 3), (6, 2), (1, 2), (5, 0), (4, 3), (2, 3), (4, 4), (6, 3), (1, 3), (5, 1), (3, 4), (5, 2), (1, 4), (2, 4), (5, 3), (6, 4), (3, 5), (4, 5), (6, 5), (2, 5), (5, 4), (1, 5), (5, 5)]",67
27,True,57,"{1: [6, 9, 16, 30, 37, 44], 2: [0, 8, 13, 27, 40, 50], 3: [0, 5, 9, 21, 48, 50], 4: [11, 16, 22, 27, 32, 44], 5: [13, 23, 27, 40, 50, 54], 6: [8, 11, 18, 30, 40, 44]}","[(2, 0), (3, 0), (3, 1), (1, 0), (2, 1), (6, 0), (1, 1), (3, 2), (4, 0), (6, 1), (2, 2), (5, 0), (1, 2), (4, 1), (6, 2), (3, 3), (4, 2), (5, 1), (2, 3), (4, 3), (5, 2), (1, 3), (6, 3), (4, 4), (1, 4), (2, 4), (5, 3), (6, 4), (1, 5), (4, 5), (6, 5), (3, 4), (2, 5), (3, 5), (5, 4), (5, 5)]",73
28,True,57,"{1: [5, 8, 17, 28, 38, 44], 2: [0, 11, 17, 28, 38, 48], 3: [0, 5, 10, 18, 36, 50], 4: [8, 13, 18, 23, 27, 45], 5: [23, 32, 35, 41, 49, 52], 6: [13, 16, 19, 28, 40, 44]}","[(2, 0), (3, 0), (1, 0), (3, 1), (1, 1), (4, 0), (3, 2), (2, 1), (4, 1), (6, 0), (6, 1), (1, 2), (2, 2), (3, 3), (4, 2), (6, 2), (4, 3), (5, 0), (4, 4), (1, 3), (2, 3), (6, 3), (5, 1), (5, 2), (3, 4), (1, 4), (2, 4), (6, 4), (5, 3), (1, 5), (6, 5), (4, 5), (2, 5), (5, 4), (3, 5), (5, 5)]",67
29,True,57,"{1: [9, 10, 21, 31, 38, 44], 2: [0, 11, 17, 28, 38, 48], 3: [0, 6, 10, 18, 41, 50], 4: [8, 13, 18, 24, 27, 45], 5: [23, 32, 35, 41, 48, 52], 6: [13, 16, 19, 28, 40, 44]}","[(2, 0), (3, 0), (3, 1), (4, 0), (1, 0), (1, 1), (3, 2), (2, 1), (4, 1), (6, 0), (6, 1), (2, 2), (3, 3), (4, 2), (6, 2), (1, 2), (5, 0), (4, 3), (4, 4), (2, 3), (6, 3), (1, 3), (5, 1), (5, 2), (1, 4), (2, 4), (6, 4), (3, 4), (5, 3), (1, 5), (6, 5), (4, 5), (2, 5), (5, 4), (3, 5), (5, 5)]",84
30,True,57,"{1: [5, 8, 21, 31, 38, 44], 2: [0, 9, 15, 28, 38, 48], 3: [0, 5, 9, 18, 46, 50], 4: [8, 13, 18, 23, 26, 45], 5: [23, 32, 35, 41, 49, 52], 6: [13, 16, 19, 28, 40, 44]}","[(2, 0), (3, 0), (1, 0), (3, 1), (1, 1), (4, 0), (2, 1), (3, 2), (4, 1), (6, 0), (2, 2), (6, 1), (3, 3), (4, 2), (6, 2), (1, 2), (4, 3), (5, 0), (4, 4), (2, 3), (6, 3), (1, 3), (5, 1), (5, 2), (1, 4), (2, 4), (6, 4), (5, 3), (1, 5), (6, 5), (4, 5), (3, 4), (2, 5), (5, 4), (3, 5), (5, 5)]",74
31,True,55,"{1: [5, 8, 16, 34, 42, 49], 2: [0, 8, 14, 28, 38, 48], 3: [0, 5, 10, 19, 28, 30], 4: [8, 14, 25, 30, 37, 45], 5: [13, 22, 25, 38, 49, 52], 6: [13, 16, 19, 28, 45, 49]}","[(2, 0), (3, 0), (1, 0), (3, 1), (1, 1), (2, 1), (4, 0), (3, 2), (5, 0), (6, 0), (2, 2), (4, 1), (1, 2), (6, 1), (3, 3), (6, 2), (5, 1), (4, 2), (5, 2), (2, 3), (3, 4), (6, 3), (3, 5), (4, 3), (1, 3), (4, 4), (2, 4), (5, 3), (1, 4), (4, 5), (6, 4), (2, 5), (1, 5), (5, 4), (6, 5), (5, 5)]",79
32,True,57,"{1: [5, 11, 17, 30, 37, 51], 2: [0, 8, 13, 27, 40, 50], 3: [0, 5, 9, 21, 36, 44], 4: [11, 16, 22, 27, 32, 44], 5: [13, 23, 27, 40, 51, 54], 6: [8, 14, 17, 30, 40, 44]}","[(2, 0), (3, 0), (1, 0), (3, 1), (2, 1), (6, 0), (3, 2), (1, 1), (4, 0), (2, 2), (5, 0), (6, 1), (4, 1), (1, 2), (6, 2), (3, 3), (4, 2), (5, 1), (2, 3), (4, 3), (5, 2), (1, 3), (6, 3), (4, 4), (3, 4), (1, 4), (2, 4), (5, 3), (6, 4), (3, 5), (4, 5), (6, 5), (2, 5), (1, 5), (5, 4), (5, 5)]",85
33,True,57,"{1: [9, 10, 14, 20, 27, 34], 2: [3, 15, 20, 30, 40, 50], 3: [10, 15, 19, 31, 43, 48], 4: [20, 25, 30, 35, 40, 48], 5: [0, 11, 15, 44, 50, 54], 6: [0, 3, 6, 15, 30, 35]}","[(5, 0), (6, 0), (2, 0), (6, 1), (6, 2), (1, 0), (1, 1), (3, 0), (5, 1), (1, 2), (2, 1), (3, 1), (5, 2), (6, 3), (3, 2), (1, 3), (2, 2), (4, 0), (4, 1), (1, 4), (2, 3), (4, 2), (6, 4), (3, 3), (1, 5), (4, 3), (6, 5), (2, 4), (4, 4), (3, 4), (5, 3), (3, 5), (4, 5), (2, 5), (5, 4), (5, 5)]",66
34,True,55,"{1: [7, 10, 16, 22, 42, 49], 2: [0, 8, 15, 28, 38, 48], 3: [1, 6, 11, 19, 28, 30], 4: [8, 13, 27, 34, 37, 45], 5: [13, 22, 25, 38, 49, 52], 6: [13, 16, 19, 28, 45, 49]}","[(2, 0), (3, 0), (3, 1), (1, 0), (2, 1), (4, 0), (1, 1), (3, 2), (4, 1), (5, 0), (6, 0), (2, 2), (1, 2), (6, 1), (3, 3), (6, 2), (1, 3), (5, 1), (5, 2), (4, 2), (2, 3), (3, 4), (6, 3), (3, 5), (4, 3), (4, 4), (2, 4), (5, 3), (1, 4), (4, 5), (6, 4), (2, 5), (1, 5), (5, 4), (6, 5), (5, 5)]",64
35,True,58,"{1: [2, 12, 18, 26, 38, 45], 2: [3, 11, 18, 28, 40, 50], 3: [3, 9, 18, 31, 41, 51], 4: [11, 16, 27, 33, 37, 45], 5: [16, 25, 28, 41, 50, 54], 6: [0, 5, 8, 21, 33, 37]}","[(6, 0), (1, 0), (2, 0), (3, 0), (6, 1), (6, 2), (3, 1), (2, 1), (4, 0), (1, 1), (4, 1), (5, 0), (1, 2), (2, 2), (3, 2), (6, 3), (5, 1), (1, 3), (4, 2), (2, 3), (5, 2), (3, 3), (4, 3), (6, 4), (4, 4), (6, 5), (1, 4), (2, 4), (3, 4), (5, 3), (1, 5), (4, 5), (2, 5), (5, 4), (3, 5), (5, 5)]",66
