chain strength,not found,incorrect,num of reads,5,6,7,8,9
0.5,1000.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0
1.0,999.8,0.0,1000.0,0.0,0.0,0.0,0.2,0.0
1.3,995.7,2.0,1000.0,2.1,0.4,0.5,0.9,0.4
1.5,999.1,0.2,1000.0,0.1,0.1,0.1,0.3,0.0
1.8,992.8,3.1,1000.0,0.3,0.0,0.9,4.3,1.7
1.9,996.5,1.7,1000.0,0.1,0.0,0.9,1.8,0.6
2.0,994.1818181818181,3.909090909090909,1000.0,0.09090909090909091,0.18181818181818182,0.36363636363636365,3.8181818181818183,1.3636363636363635
2.1,981.3,1.7,1000.0,1.1,3.7,5.9,1.1,5.0
2.2,993.2,1.8,1000.0,0.2,0.3,1.3,3.1,1.8
2.5,984.8,2.0,1000.0,0.1,2.8,3.3,5.5,3.2
3.0,960.0,5.3,1000.0,1.1,2.5,7.9,12.7,14.8
3.5,936.3,6.2,1000.0,2.4,5.7,11.0,23.9,19.6
4.0,906.7272727272727,2.8181818181818183,1000.0,4.818181818181818,7.909090909090909,16.545454545454547,32.63636363636363,28.272727272727273
5.0,865.3,2.1,1000.0,2.9,11.3,22.4,49.8,45.9
6.0,807.2,1.7,1000.0,6.6,18.4,37.2,62.3,64.8
7.0,753.1,1.5,1000.0,6.8,12.9,42.4,104.5,75.6
8.0,721.5,0.9,1000.0,10.1,19.5,45.3,111.1,87.2
9.0,638.6,0.8,1000.0,10.1,29.1,66.8,158.7,91.0
10.0,624.3636363636364,0.6363636363636364,1000.0,9.454545454545455,19.727272727272727,81.36363636363636,174.36363636363637,87.0909090909091
11.0,595.0,1.0,1000.0,10.3,25.2,61.4,161.7,142.3
12.0,521.6666666666666,0.6666666666666666,1000.0,11.833333333333334,25.0,96.66666666666667,193.0,146.83333333333334
13.0,504.1,0.4,1000.0,11.6,37.7,88.9,212.2,141.7
14.0,461.5,0.3,1000.0,12.5,35.3,88.1,244.0,153.3
15.0,451.4,0.5,1000.0,8.5,29.7,90.0,230.8,186.4
16.0,405.9,0.1,1000.0,10.6,32.5,84.9,229.8,232.4
17.0,376.0,0.1,1000.0,10.8,39.4,109.6,285.5,175.1
18.0,383.3,0.2,1000.0,6.9,29.2,94.8,300.2,183.7
19.0,323.9,0.1,1000.0,10.7,25.5,114.4,323.3,198.8
20.0,329.6,0.0,1000.0,7.9,34.8,96.9,303.3,225.4
25.0,259.6,0.1,1000.0,9.2,28.0,97.4,386.6,217.8
30.0,222.7,0.0,1000.0,9.6,34.5,106.1,348.3,277.2
35.0,158.2,0.1,1000.0,5.7,21.5,90.5,345.3,377.3
40.0,142.33333333333334,0.0,1000.0,4.0,23.666666666666668,101.88888888888889,435.77777777777777,290.6666666666667
45.0,133.6,0.1,1000.0,3.2,17.7,88.0,430.6,326.7
50.0,138.8,0.0,1000.0,3.8,22.0,106.4,397.8,330.2
60.0,120.3,0.0,1000.0,4.1,22.3,93.4,407.7,351.3
70.0,100.6,0.0,1000.0,3.3,12.4,79.6,460.9,342.4
80.0,101.4,0.0,1000.0,2.3,14.4,88.0,413.1,380.4
90.0,84.9,0.0,1000.0,3.1,18.8,91.9,405.2,395.5
100.0,83.3,0.0,1000.0,1.5,9.6,79.2,447.5,378.7
150.0,73.7,0.0,1000.0,2.1,11.5,76.0,510.7,325.6
200.0,70.5,0.1,1000.0,1.6,11.5,65.0,417.3,433.9
250.0,63.9,0.0,1000.0,1.1,7.6,69.3,447.0,411.1
300.0,62.7,0.0,1000.0,0.6,8.4,61.9,392.3,474.0
350.0,62.4,0.0,1000.0,1.3,9.7,74.2,459.6,392.7
400.0,60.2,0.0,1000.0,1.3,9.3,57.7,477.8,393.5
450.0,62.1,0.0,1000.0,0.6,8.2,60.1,452.9,415.9
500.0,59.7,0.0,1000.0,0.6,7.8,66.4,459.4,406.0
550.0,56.9,0.0,1000.0,1.6,9.1,60.8,435.5,436.0
600.0,51.0,0.0,1000.0,1.4,7.3,65.4,400.3,474.4
650.0,50.1,0.0,1000.0,1.1,10.9,76.6,410.1,451.0
700.0,48.6,0.0,1000.0,0.5,4.4,40.6,429.0,476.8
750.0,50.0,0.0,1000.0,0.7,7.1,54.8,415.0,472.3
800.0,44.2,0.0,1000.0,0.9,6.0,62.0,477.3,409.4
850.0,46.2,0.0,1000.0,1.6,8.1,56.1,416.3,471.6
900.0,36.7,0.0,1000.0,0.4,4.2,45.1,399.0,514.6
950.0,43.7,0.0,1000.0,0.9,4.8,45.8,425.7,478.9
1000.0,43.2,0.0,1000.0,0.3,6.0,48.8,430.0,471.7
9750.0,41.3,0.0,1000.0,0.8,6.6,59.2,388.3,503.7
9800.0,36.2,0.0,1000.0,0.8,6.9,57.6,386.9,511.5
9850.0,32.2,0.0,1000.0,0.6,4.6,38.7,366.1,557.8
9900.0,36.8,0.0,1000.0,0.3,5.2,47.2,429.4,481.0
9950.0,31.7,0.0,1000.0,0.6,6.2,44.1,408.9,508.4
10000.0,31.0,0.0,1000.0,0.0,8.0,82.0,318.0,560.0
100000.0,46.9,0.0,1000.0,0.6,8.1,56.6,445.9,441.9
