chain strength,not found,correct,num of reads,5,6,7,8,9
0.5,1000,0,1000,0,0,0,0,0
0.5,1000,0,1000,0,0,0,0,0
0.5,1000,0,1000,0,0,0,0,0
0.5,1000,0,1000,0,0,0,0,0
0.5,1000,0,1000,0,0,0,0,0
0.5,1000,0,1000,0,0,0,0,0
0.5,1000,0,1000,0,0,0,0,0
0.5,1000,0,1000,0,0,0,0,0
0.5,1000,0,1000,0,0,0,0,0
0.5,1000,0,1000,0,0,0,0,0
0.5,1000,0,1000,0,0,0,0,0
0.5,1000,0,1000,0,0,0,0,0
0.5,1000,0,1000,0,0,0,0,0
0.5,1000,0,1000,0,0,0,0,0
1,1000,0,1000,0,0,0,0,0
1,1000,0,1000,0,0,0,0,0
1,1000,0,1000,0,0,0,0,0
1,1000,0,1000,0,0,0,0,0
1,1000,0,1000,0,0,0,0,0
1,999,0,1000,0,0,0,1,0
1,1000,0,1000,0,0,0,0,0
1,999,0,1000,0,0,0,1,0
1,1000,0,1000,0,0,0,0,0
1,1000,0,1000,0,0,0,0,0
1.3,1000,0,1000,0,0,0,0,0
1.3,1000,0,1000,0,0,0,0,0
1.3,1000,0,1000,0,0,0,0,0
1.3,996,1,1000,0,0,0,2,2
1.3,1000,0,1000,0,0,0,0,0
1.3,965,17,1000,21,4,5,4,1
1.3,1000,0,1000,0,0,0,0,0
1.3,1000,0,1000,0,0,0,0,0
1.3,996,2,1000,0,0,0,3,1
1.3,1000,0,1000,0,0,0,0,0
1.5,1000,0,1000,0,0,0,0,0
1.5,1000,0,1000,0,0,0,0,0
1.5,1000,0,1000,0,0,0,0,0
1.5,1000,0,1000,0,0,0,0,0
1.5,1000,0,1000,0,0,0,0,0
1.5,1000,0,1000,0,0,0,0,0
1.5,1000,0,1000,0,0,0,0,0
1.5,1000,1,1000,0,0,0,0,0
1.5,991,1,1000,1,1,1,3,0
1.5,1000,0,1000,0,0,0,0,0
1.8,992,21,1000,0,0,1,7,0
1.8,1000,0,1000,0,0,0,0,0
1.8,1000,2,1000,0,0,0,0,0
1.8,987,5,1000,2,0,1,5,5
1.8,998,1,1000,0,0,0,1,1
1.8,1000,0,1000,0,0,0,0,0
1.8,999,0,1000,0,0,1,0,0
1.8,1000,0,1000,0,0,0,0,0
1.8,952,2,1000,1,0,6,30,11
1.8,1000,0,1000,0,0,0,0,0
1.9,980,3,1000,0,0,4,14,2
1.9,999,9,1000,0,0,0,1,0
1.9,998,5,1000,0,0,1,0,1
1.9,997,0,1000,0,0,0,1,2
1.9,1000,0,1000,0,0,0,0,0
1.9,998,0,1000,0,0,0,1,1
1.9,999,0,1000,0,0,1,0,0
1.9,998,0,1000,1,0,0,1,0
1.9,996,0,1000,0,0,3,0,0
1.9,1000,0,1000,0,0,0,0,0
2,1000,2,1000,0,0,0,0,0
2,1000,0,1000,0,0,0,0,0
2,1000,0,1000,0,0,0,0,0
2,999,0,1000,0,0,0,0,1
2,998,0,1000,0,0,2,0,0
2,1000,0,1000,0,0,0,0,0
2,995,5,1000,1,2,1,1,0
2,985,2,1000,0,0,1,9,5
2,960,10,1000,0,0,0,31,9
2,999,24,1000,0,0,0,1,0
2,1000,0,1000,0,0,0,0,0
2.1,999,1,1000,0,0,0,0,1
2.1,969,0,1000,6,7,10,2,3
2.1,1000,13,1000,0,0,0,0,0
2.1,997,0,1000,1,0,1,1,0
2.1,1000,0,1000,0,0,0,0,0
2.1,996,0,1000,0,0,2,2,0
2.1,1000,0,1000,0,0,0,0,0
2.1,1000,0,1000,0,0,0,0,0
2.1,889,0,1000,3,29,46,3,14
2.1,963,3,1000,1,1,0,3,32
2.2,997,0,1000,0,1,0,1,1
2.2,996,0,1000,0,0,1,2,1
2.2,996,0,1000,0,0,3,1,0
2.2,999,0,1000,0,0,0,1,0
2.2,992,0,1000,0,0,1,3,4
2.2,1000,0,1000,0,0,0,0,0
2.2,986,5,1000,1,1,0,11,0
2.2,979,1,1000,1,1,2,10,7
2.2,996,8,1000,0,0,0,1,3
2.2,991,4,1000,0,0,6,1,2
