instance size,error ,incorrect,num of reads,optimal
1,58,0,1000,261
1,84,0,1000,211
1,72,0,1000,250
1,67,0,1000,241
1,96,0,1000,247
1,60,0,1000,248
1,74,0,1000,175
1,53,0,1000,387
1,65,0,1000,259
1,71,0,1000,262
1,63,0,1000,211
1,66,0,1000,202
1,75,0,1000,279
1,101,0,1000,202
1,99,0,1000,210
1,82,0,1000,315
1,81,0,1000,286
1,50,0,1000,264
1,50,0,1000,178
1,79,0,1000,169
2,460,663,1000,50
2,460,638,1000,21
2,408,759,1000,44
2,386,583,1000,40
2,432,739,1000,34
2,395,695,1000,33
2,451,768,1000,63
2,506,742,1000,58
2,472,728,1000,52
2,443,713,1000,37
2,424,710,1000,42
2,410,626,1000,34
2,451,769,1000,72
2,401,525,1000,10
2,461,708,1000,27
2,433,691,1000,42
2,457,792,1000,41
2,481,757,1000,87
2,502,745,1000,63
2,473,823,1000,69
3,713,999,1000,10
3,785,999,1000,11
3,779,997,1000,18
3,777,1000,1000,26
3,834,998,1000,11
3,775,997,1000,3
3,785,998,1000,9
3,778,1000,1000,19
3,692,995,1000,12
3,777,998,1000,21
3,737,999,1000,12
3,753,1000,1000,13
3,786,999,1000,14
3,818,999,1000,10
3,751,1000,1000,27
3,802,999,1000,8
3,708,997,1000,8
3,775,999,1000,18
3,727,999,1000,10
3,743,996,1000,4
4,913,1000,1000,2
4,930,1000,1000,2
4,938,1000,1000,2
4,925,1000,1000,8
4,922,1000,1000,4
4,942,1000,1000,4
4,927,1000,1000,2
4,928,1000,1000,1
4,925,1000,1000,7
4,943,1000,1000,4
4,921,1000,1000,4
4,939,1000,1000,4
4,898,1000,1000,7
4,910,1000,1000,6
4,920,1000,1000,9
4,905,1000,1000,3
4,915,1000,1000,1
4,908,1000,1000,5
4,913,1000,1000,1
4,920,1000,1000,6
